Review
"Saya pelanggan baru. Awalnya sebagai pelanggan baru, promo hemat nya sangat menggiurkan, dengan banyaknya promo hemat yg besar. Tetapi sewaktu order utk pertama kali nya, ternyata order dibatalkan oleh sistem dengan alasan yg tidak jelas, begitu coba diulang lg utk bertransaksi, ternyata semua berubah dan promo hemat yg semula besar berubah menjadi kecil atau malah hilang. Sangat-sangat kecewa sekali, jadi seperti dibohongi. 👎"
"Pesanan ilang ga tau kemana pelayanan komplain sangat sangat lambat!! Pengalaman pertama beli disini sangat tidak memuaskan dan sangat sangat sangat mengecewakan!! Padahal pesanan saya payment udah pake TF biar tinggal nerima, tapi ternyata pesanan malah ga sampai kerumah, dikomplain sama sekali tidak membantu menyelesaikan permalasahannya Slogannya tidak sesuai, katanya aman dan amanah tapi nyatanya zonk!! Sangat sangat sangat menyesal sekali melakukan pembelian diecommerce ini!!!!!"
"Saya pengguna lama tokopedia... Kurir rekomendasi ID express sangat mengecewakan... Paket mengendap 2 hari di th Cakung, ga dikirim kirim... Pas udah ajuin komplain, langsung dikirim... Terus di paket nya ada tulisan urgent... Jadi kalo ga di komplain,ga akan dikirim itu paket. Tolong tokopedia lebih ketat memilih kurir rekomendasi. Kalau seperti ini terus, saya pindah ke aplikasi lain..."
"Make ini dah lama, sayangnya selalu ada kendala Oleh kurir si cepat, pick up paket yang terlalu lama, dan paket sampai tidak sesuai yg tercantum di app. metode pembayaran lewat e-wallet kurang, tp gpp lah, everything is good👍🏼 edit : jadi Bintang 5. Karna promo dan potongan harga. klo soal pengiriman Masih Sama lamanya, Bisa Sampai 4 - 7 hari, tlg di tingkatkan lagi bagian pengiriman dn informasi pajet dah sampe mananya."
"sangat puas dengan tokopedia. sangat komplit njerit gak kayak toko yang lain. di pertahankan terus. kalo ada bintang 1000 pasti kasih bintang seribu. makasih tokopedia sangat membantu sekali, cuman satu kekurangan ekspedisi lemot sekali dah itu aja"
"Sistem belum cerdas, customer jadi korban, tidak bisa menggunakan promo karena blm sesuai S&K. Lebih cerdas marketplace orange. Sudah cek ke Tokopedia care, jawaban tidak jelas, cuma di kasih point 9 , M, dsb, tp tidak detail transaksi apa yg sudah di langgar. Dan tidak ada solusi."
"Agak kecewa sama tokopedia nya, ada beberpa hal yang bikin tidak nyaman saat belanja, yang pertama metode pembayaran COD nya tidak seluruh indonesia, hanya beberapa wilayah tertentu, yang kedua. Exapedisi sicepat nya lemot, kurang update, paket sampai 4 hari tidak ada update terbaru nya, paket suka di tahan di gudang, tidak di kirim, lebih bagus pake J&T atau JNE, untuk metode COD nya."
"Saya pengguna baru Tokopedia, saat akan membeli produk terdapat potongan harga khusus untuk pengguna baru, saat pesanan sudah di bayar tiba tiba transaksi terkena pembatalan oleh sistem dan saat akan melakukan pembayaran ulang diskon potongan harga sudah tidak tersedia, padahal voucher blm terpakai akibat terkena pembatalan. Sudah sering Tokopedia seperti ini memberikan tawaran hoax alias PHP soal potongan harga kepada pengguna baru! Dan selalu terkena pembatalan sistem. Sangat mengecewakan."
"Secara keseluruhan aplikasinya sudah bagus dengan ke aslian barangnya... Tapi untuk informasi pelacakan barangnya,menurut saya sangat kurang update dan kurang detail.. Entah itu dari pihak pengirimannya atau dari aplikasi itu sendiri.. Sekian dari saya semoga bisa jadi bahan untuk di pikirkan. Thanks tokopedia"
"Sebenernya tokped bagus, banyak promo. Tapi mau beli sering² di tokped mikir dulu soalnya barang sampe lama banget bisa 4 s.d 5 hari dan saya liat sabtu, minggu barang tidak gerak, seninnya baru di lanjut proses pengirimannya. Terkesan tertahan digudang ekspedisi. Beda dengan toko orange barang sampai cepat maksimal 3 hari, jarang sekali ada yang lama. Edit : Bintang 5 karena ada promo. Pengiriman masih lama atau engga? Belum tau. Nanti di update lagi"
"Barang memang murah, tapi rekomendasi ekspedisi nya yang buruk. Contohnya seperti ID Express dan SAPX banyak barang yang tidak sampai dan hilang entah kemana padahal sudah dibayar. Dan juga tolong hilangkan fitur rekomendasi kurir karena banyak ekspedisi yang bobrok dan gak jelas."
"Semakin hari pengiriman tidak jelas Kirim di kota yang sama aja bisa sampai 3 hari lebih Tokopedia tolong ditindak lanjuti masalah pengiriman Karena bisa merugikan penjual Sekarang juga seenaknya hapus kupon saat transaksi, kalo emang gabisa dipake ya jangan dipajang. Terlebih kurir rekomendasi, bukannya cepat malah saling lempar antar ekspedisi, awalnya di pickup pakai si cepat tapi lanjut ke jne.Sangat merugikan"
"Fitur dan filter pencarian sekarang berubah. Sudah tidak bisa melakukan pencarian spesifik dengan kata kunci pengecualian. Hasil yang muncul dengan pencarian normal (tanpa filter) pun meluas, sekalipun kata kunci sudah sangat spesifik; seperti hanya mengenali beberapa kata saja di kolom pencarian, padahal sudah mengurutkan hasil dari yang paling relevan. Tolong perbaiki hal ini."
"Saya kurang suka sama fitur kurir rekomendasinya, karena otomatis gak bisa milih ekspedisi. Saya selalu dapat ekspedisi yg lama, paket yg biasanya bisa terkirim dalam waktu 2 hari tapi pake ekspedisi ini selalu di atas 4 hari bahkan seminggu. Sebenernya ini fitur bagus, cuma kurang di pemilihan otomatisnya aja. Semoga sistemnya bisa improve biar lebih smart & bisa detect mana ekspedisi yg cepat dan mana ekspedisi yg lelet berdasarkan pengalaman pengguna."
"buang aja kurir rekomendasi ID Express.. pengiriman super lelet, lemot, tidak jujur. Saat di tracking barang dinyatakan sudah sampai, tapi barangnya saya terima pun tidak.. jujur ""KAPOK"" pakai tokopedia lagi, mending pakai e commerce yang lain dengan pengiriman lebih terpercaya..."
